"id","inward_dt","unit","inward_no","item_mark","vakkal","lot_no","no_of_cartons","weight_kg","total_inventory_kgs","group_name","item_description","storage_location","exporter","last_purchase_rate","value","created_at","updated_at"
303,"2025-04-15","Rishi","Rishi Cold","EMIRAT-BLA",NULL,"117122","34.00","10.000","340.00","Economical Dates","AL BARAKAH KHALAS PREMIUM DATES","Rishi","AL BARAKAH","116.00","39440.00","2026-02-18 12:46:25.597185","2026-02-18 12:46:25.597185"
304,"2025-04-27","Rishi","Rishi Cold","FARD","Orange Box","117407","848.00","10.000","8480.00","Economical Dates","Al Barakah Fard Dates Premium","Rishi","AL BARAKAH","233.00","1975840.00","2026-02-18 12:46:25.597185","2026-02-18 12:46:25.597185"
305,"2025-04-27","Rishi","Rishi Cold","FARD","Orange Box","117411","778.00","10.000","7780.00","Economical Dates","Al Barakah Fard Dates Premium","Rishi","AL BARAKAH","233.00","1812740.00","2026-02-18 12:46:25.597185","2026-02-18 12:46:25.597185"
306,"2025-04-28","Rishi","Rishi Cold","FARD","Orange Box","117413","134.00","10.000","1340.00","Economical Dates","Al Barakah Fard Dates Premium","Rishi","AL BARAKAH","233.00","312220.00","2026-02-18 12:46:25.597185","2026-02-18 12:46:25.597185"
307,"2025-05-10","Rishi","Rishi Cold","KHALAS",NULL,"117769","175.00","10.000","1750.00","Economical Dates","AL BARAKAH KHALAS DATES","Rishi","AL BARAKAH","116.00","203000.00","2026-02-18 12:46:25.597185","2026-02-18 12:46:25.597185"
308,"2025-05-13","Rishi","Rishi Cold","DRY - CHURA",NULL,"117833","37.00","10.000","370.00","Dry Dates","DRY DATES-GRADE 2","Rishi","NAKHEEL","241.00","89170.00","2026-02-18 12:46:25.597185","2026-02-18 12:46:25.597185"
309,"2025-05-31","Rishi","Rishi Cold","BROWN",NULL,"118284","9.00","16.000","144.00","Economical Dates","AL BARAKAH SUFRI DATES 10KG","Rishi","Local","115.00","16560.00","2026-02-18 12:46:25.597185","2026-02-18 12:46:25.597185"
310,"2025-06-03","Rishi","Rishi Cold","BROWN",NULL,"118351","17.00","15.000","255.00","Economical Dates","AL BARAKAH SUFRI DATES 10KG","Rishi","Local","115.00","29325.00","2026-02-18 12:46:25.597185","2026-02-18 12:46:25.597185"
311,"2025-06-03","Rishi","Rishi Cold","BROWN",NULL,"118352","5.00","13.000","65.00","Economical Dates","AL BARAKAH SUFRI DATES 10KG","Rishi","Local","115.00","7475.00","2026-02-18 12:46:25.597185","2026-02-18 12:46:25.597185"
312,"2025-06-03","Rishi","Rishi Cold","BROWN",NULL,"118353","2.00","18.000","36.00","Economical Dates","AL BARAKAH SUFRI DATES 10KG","Rishi","Local","115.00","4140.00","2026-02-18 12:46:25.597185","2026-02-18 12:46:25.597185"
313,"2025-06-30","Rishi","Rishi Cold","Al Barakah","RTV Sunirse","119002","46.00","15.000","690.00","Economical Dates","AL BARAKAH BARHI DATES 10KG","Rishi","AL BARAKAH","90.50","62445.00","2026-02-18 12:46:25.597185","2026-02-18 12:46:25.597185"
314,"2025-07-07","Rishi","Rishi Cold","Mazafati",NULL,"119224","1388.00","5.000","6940.00","Economical Dates","Wet Dates (Mazafati)","Rishi","Local","198.00","1374120.00","2026-02-18 12:46:25.597185","2026-02-18 12:46:25.597185"
315,"2025-07-16","Rishi","Rishi Cold","Mazafati",NULL,"119491","321.00","5.000","1605.00","Economical Dates","Wet Dates (Mazafati)","Rishi","Local","198.00","317790.00","2026-02-18 12:46:25.597185","2026-02-18 12:46:25.597185"
316,"2025-07-23","Rishi","Rishi Cold","Bam-Kimia",NULL,"119639","373.00","5.000","1865.00","Economical Dates","Wet Dates (Mazafati)","Rishi","Local","240.00","447600.00","2026-02-18 12:46:25.597185","2026-02-18 12:46:25.597185"
317,"2025-08-01","Rishi","Rishi Cold","MIX",NULL,"119869","44.00","10.000","435.00","Economical Dates","Wet Dates Seedless Khalas","Rishi","AL BARAKAH","126.00","54810.00","2026-02-18 12:46:25.597185","2026-02-18 12:46:25.597185"
318,"2025-08-23","Rishi","Rishi Cold","PREMIUM",NULL,"120372","25.00","5.000","125.00","Economical Dates","Wet Dates (Mazafati)","Rishi","Local","240.00","30000.00","2026-02-18 12:46:25.597185","2026-02-18 12:46:25.597185"
319,"2025-08-25","Rishi","Rishi Cold","ROYAL ARABIAN",NULL,"120409","337.00","12.000","4044.00","Economical Dates","Delmonte Royal Arabian dates 500g [1 Case x 24 unit] Non-Promo","Rishi","AL BARAKAH","116.00","469104.00","2026-02-18 12:46:25.597185","2026-02-18 12:46:25.597185"
320,"2025-11-24","Rishi","Rishi Cold","SAFAWI",NULL,"122755","301.00","5.000","1505.00","Premium Dates","Wet Dates Safavi","Rishi","Local","550.00","827750.00","2026-02-18 12:46:25.597185","2026-02-18 12:46:25.597185"
321,"2025-10-06","Rishi","Rishi Cold","KHALAS","AAT IMPEX","121432","1099.00","10.000","10990.00","Economical Dates","AL BARAKAH KHALAS PREMIUM DATES","Rishi","AL BARAKAH","116.00","1274840.00","2026-02-18 12:46:25.597185","2026-02-18 12:46:25.597185"
322,"2025-10-14","Rishi","Rishi Cold","BARAHI",NULL,"121648","0.00","10.000",NULL,"Economical Dates","AL BARAKAH BARHI DATES 10KG","Rishi","AL BARAKAH","90.50",NULL,"2026-02-18 12:46:25.597185","2026-02-18 12:46:25.597185"
323,"2025-10-15","Rishi","Rishi Cold","BROWN",NULL,"121686","248.00","12.000","2976.00","Economical Dates","Delmonte Royal Arabian dates 500g [1 Case x 24 unit] Non-Promo","Rishi","AL BARAKAH","116.00","345216.00","2026-02-18 12:46:25.597185","2026-02-18 12:46:25.597185"
324,"2025-10-28","Rishi","Rishi Cold","Sayer Dates",NULL,"121939","0.00","10.000",NULL,"Economical Dates","Wet Date Sayer ( Unpitted )","Rishi","AL BARAKAH","99.00",NULL,"2026-02-18 12:46:25.597185","2026-02-18 12:46:25.597185"
325,"2025-10-31","Rishi","Rishi Cold","KHALAS",NULL,"121977","2.00","10.000","20.00","Economical Dates","AL BARAKAH KHALAS PREMIUM DATES","Rishi","AL BARAKAH","116.00","2320.00","2026-02-18 12:46:25.597185","2026-02-18 12:46:25.597185"
326,"2025-11-02","Rishi","Rishi Cold","Sayer Dates",NULL,"122019","1806.00","10.000","18060.00","Economical Dates","Wet Date Sayer ( Unpitted )","Rishi","AL BARAKAH","99.00","1787940.00","2026-02-18 12:46:25.597185","2026-02-18 12:46:25.597185"
327,"2025-11-15","Rishi","Rishi Cold","BARHI",NULL,"122457","400.00","10.000","4000.00","Economical Dates","AL BARAKAH BARHI DATES 10KG","Rishi","Local","90.50","362000.00","2026-02-18 12:46:25.597185","2026-02-18 12:46:25.597185"
328,"2025-11-28","Rishi","Rishi Cold","Sayer Dates",NULL,"122909","879.00","5.000","4395.00","Economical Dates","Wet Date Sayer ( Unpitted )","Rishi","Local","105.00","461475.00","2026-02-18 12:46:25.597185","2026-02-18 12:46:25.597185"
329,"2025-11-29","Rishi","Rishi Cold","BARHI",NULL,"122937","159.00","10.000","1590.00","Economical Dates","AL BARAKAH BARHI DATES 10KG","Rishi","Local","90.50","143895.00","2026-02-18 12:46:25.597185","2026-02-18 12:46:25.597185"
330,"2025-12-08","Rishi","Rishi Cold","KHALAS",NULL,"123249","119.00","10.000","1190.00","Economical Dates","Wet Dates Seedless Khalas","Rishi","AL BARAKAH","126.00","149940.00","2026-02-18 12:46:25.597185","2026-02-18 12:46:25.597185"
331,"2025-12-09","Rishi","Rishi Cold","Mazafati",NULL,"123292","142.00","6.800","966.00","Economical Dates","Wet Dates (Mazafati)","Rishi","Local","198.00","191188.80","2026-02-18 12:46:25.597185","2026-02-18 12:46:25.597185"
332,"2025-12-09","Rishi","Rishi Cold","Sayer Dates",NULL,"123293","4.00","10.000","40.00","Economical Dates","Wet Date Sayer ( Unpitted )","Rishi","AL BARAKAH","99.00","3960.00","2026-02-18 12:46:25.597185","2026-02-18 12:46:25.597185"
333,"2025-12-09","Rishi","Rishi Cold","Ajwa",NULL,"123294","28.00","5.000","140.00","Premium Dates","Wet Dates Ajwa","Rishi","0","675.00","94500.00","2026-02-18 12:46:25.597185","2026-02-18 12:46:25.597185"
334,"2025-12-09","Rishi","Rishi Cold","Mabroom",NULL,"123295","2.00","15.000","30.00","Premium Dates","Wet Dates (Mabroom)","Rishi","0","990.00","29700.00","2026-02-18 12:46:25.597185","2026-02-18 12:46:25.597185"
335,"2025-12-09","Rishi","Rishi Cold","Sayer Dates",NULL,"123296","3.00","5.000","15.00","Economical Dates","Wet Date Sayer ( Unpitted )","Rishi","Local","105.00","1575.00","2026-02-18 12:46:25.597185","2026-02-18 12:46:25.597185"
336,"2025-12-09","Rishi","Rishi Cold","Crushed Dates",NULL,"123298","0.00","10.000",NULL,"Economical Dates","AL BARAKAH CRUSHED DATES 10KG","Rishi","AL BARAKAH","127.00",NULL,"2026-02-18 12:46:25.597185","2026-02-18 12:46:25.597185"
337,"2025-12-10","Rishi","Rishi Cold","FARD - STAND",NULL,"123327","109.00","10.000","1090.00","Economical Dates","Al Barakah Fard Dates Seedless","Rishi","AL BARAKAH","230.00","250700.00","2026-02-18 12:46:25.597185","2026-02-18 12:46:25.597185"
338,"2025-12-11","Rishi","Rishi Cold","Khalas-Mix",NULL,"123364","52.00","10.000","520.00","Economical Dates","Wet Dates Seedless Khalas","Rishi","AL BARAKAH","126.00","65520.00","2026-02-18 12:46:25.597185","2026-02-18 12:46:25.597185"
339,"2025-12-11","Rishi","Rishi Cold","Fard-Mix",NULL,"123365","55.00","5.000","275.00","Economical Dates","Al Barakah Fard Dates Seedless","Rishi","AL BARAKAH","230.00","63250.00","2026-02-18 12:46:25.597185","2026-02-18 12:46:25.597185"
340,"2025-12-11","Rishi","Rishi Cold","FARD - STAND",NULL,"123366","73.00","10.000","730.00","Economical Dates","Al Barakah Fard Dates Seedless","Rishi","AL BARAKAH","230.00","167900.00","2026-02-18 12:46:25.597185","2026-02-18 12:46:25.597185"
341,"2025-12-18","Rishi","Rishi Cold","Zahidi",NULL,"123591","1682.00","10.000","16820.00","Economical Dates","Wet Dates Zahidi","Rishi","Local","115.00","1934300.00","2026-02-18 12:46:25.597185","2026-02-18 12:46:25.597185"
342,"2025-12-20","Rishi","Rishi Cold","Brown 13KG",NULL,"123683","486.00","12.000","5832.00","Economical Dates","Delmonte Royal Arabian dates 500g [1 Case x 24 unit] Non-Promo","Rishi","AL BARAKAH","116.00","676512.00","2026-02-18 12:46:25.597185","2026-02-18 12:46:25.597185"
343,"2025-12-20","Rishi","Rishi Cold","Brown",NULL,"123633","215.00","10.000","2150.00","Economical Dates","AL BARAKAH SUFRI DATES 10KG","Rishi","Local","115.00","247250.00","2026-02-18 12:46:25.597185","2026-02-18 12:46:25.597185"
344,"2025-12-20","Rishi","Rishi Cold","Khalas VR",NULL,"123688","40.00","10.000","400.00","Economical Dates","AL BARAKAH KHALAS DATES","Rishi","AL BARAKAH","116.00","46400.00","2026-02-18 12:46:25.597185","2026-02-18 12:46:25.597185"
345,"2025-12-25","Rishi","Rishi Cold","Seedless",NULL,"123887","70.00","10.000","700.00","Economical Dates","Wet Dates Seedless Khalas","Rishi","AL BARAKAH","126.00","88200.00","2026-02-18 12:46:25.597185","2026-02-18 12:46:25.597185"
346,"2025-12-25","Rishi","Rishi Cold","Barhi",NULL,"123888","100.00","10.000","1000.00","Economical Dates","AL BARAKAH BARHI DATES 10KG","Rishi","AL BARAKAH","90.50","90500.00","2026-02-18 12:46:25.597185","2026-02-18 12:46:25.597185"
347,"2025-12-26","Rishi","Rishi Cold","Fard",NULL,"123935","0.00","10.000",NULL,"Economical Dates","AL BARAKAH FARD DATES STANDARD","Rishi","AL BARAKAH","195.00",NULL,"2026-02-18 12:46:25.597185","2026-02-18 12:46:25.597185"
348,"2025-12-26","Rishi","Rishi Cold","BAM-MIX",NULL,"123936","400.00","6.000","2400.00","Economical Dates","Wet Dates (Mazafati)","Rishi","Local","199.00","477600.00","2026-02-18 12:46:25.597185","2026-02-18 12:46:25.597185"
349,"2025-12-29","Rishi","Rishi Cold","REZIZ",NULL,"124042","2.00","10.000","20.00","Economical Dates","AL BARAKAH REZIZ DATES 10KG","Rishi","AL BARAKAH","87.70","1754.00","2026-02-18 12:46:25.597185","2026-02-18 12:46:25.597185"
350,"2026-01-08","Rishi","Rishi Cold","Al Barakah Kimia 500g",NULL,"124407","50.00","6.000","300.00","Economical Dates","Al Barakah Kimia Dates 500 Gm","Rishi","0","260.00","78000.00","2026-02-18 12:46:25.597185","2026-02-18 12:46:25.597185"
351,"2026-01-08","Rishi","Rishi Cold","BAM-MIX",NULL,"124409","264.00","6.000","1584.00","Economical Dates","Wet Dates (Mazafati)","Rishi","Local","199.00","315216.00","2026-02-18 12:46:25.597185","2026-02-18 12:46:25.597185"
352,"2026-01-19","Rishi","Rishi Cold","Seedless",NULL,"124652","140.00","5.000","700.00","Economical Dates","Wet Dates Seedless Khalas","Rishi","AL BARAKAH","126.00","88200.00","2026-02-18 12:46:25.597185","2026-02-18 12:46:25.597185"
353,"2026-01-22","Rishi","Rishi Cold","Egyptian",NULL,"124679","1886.00","10.000","18860.00","Economical Dates","Egyptian Wet Dates 10Kg","Rishi","Muffaddar","100.00","1886000.00","2026-02-18 12:46:25.597185","2026-02-18 12:46:25.597185"
354,"2026-01-24","Rishi","Rishi Cold","PEST",NULL,"124789","1500.00","12.500","18750.00","Date Paste","AL BARAKAH DATE PASTE 12.5KG","Rishi","AL BARAKAH","95.00","1781250.00","2026-02-18 12:46:25.597185","2026-02-18 12:46:25.597185"
355,"2026-01-24","Rishi","Rishi Cold","FARD",NULL,"124790","345.00","10.000","3450.00","Economical Dates","Al Barakah Fard Dates Standard","Rishi","AL BARAKAH","157.00","541650.00","2026-02-18 12:46:25.597185","2026-02-18 12:46:25.597185"
356,"2026-02-03","Rishi","Rishi Cold","KHALAS",NULL,"124994","88.00","10.000","880.00","Economical Dates","Wet Dates Khalas","Rishi","Local","116.00","102080.00","2026-02-18 12:46:25.597185","2026-02-18 12:46:25.597185"
357,"2026-02-07","Rishi","Rishi Cold","FARD-RELIANCE",NULL,"125087","49.00","10.000","490.00","Economical Dates","Wet Dates Fard","Rishi","Local","215.00","105350.00","2026-02-18 12:46:25.597185","2026-02-18 12:46:25.597185"
358,"2026-02-10","Rishi","Rishi Cold","Barhi",NULL,"125168","2288.00","10.000","22880.00","Economical Dates","AL BARAKAH BARHI DATES 10KG","Rishi","Local","90.50","2070640.00","2026-02-18 12:46:25.597185","2026-02-18 12:46:25.597185"
359,"2026-02-11","Rishi","Rishi Cold","Barhi",NULL,"125178","2595.00","10.000","25950.00","Economical Dates","AL BARAKAH BARHI DATES 10KG","Rishi","Local","90.50","2348475.00","2026-02-18 12:46:25.597185","2026-02-18 12:46:25.597185"
360,"2026-02-13","Rishi","Rishi Cold","FARD",NULL,"125276","999.00","10.000","9990.00","Economical Dates","Al Barakah Fard Dates Premium","Rishi","AL BARAKAH","233.00","2327670.00","2026-02-18 12:46:25.597185","2026-02-18 12:46:25.597185"
361,"2026-02-14","Rishi","Rishi Cold","Sayer Dates WEFOOD 5KG",NULL,"125295","2400.00","5.000","12000.00","Economical Dates","Wet Date Sayer ( Unpitted )","Rishi","Local","96.00","1152000.00","2026-02-18 12:46:25.597185","2026-02-18 12:46:25.597185"
362,"2026-02-15","Rishi","Rishi Cold","Sayer Dates WEFOOD 5KG",NULL,"125329","2143.00","5.000","10715.00","Economical Dates","Wet Date Sayer ( Unpitted )","Rishi","Local","96.00","1028640.00","2026-02-18 12:46:25.597185","2026-02-18 12:46:25.597185"
363,"2026-02-15","Rishi","Rishi Cold","Sayer Dates WEFOOD 5KG",NULL,"125329","1285.00","5.000","6425.00","Economical Dates","Wet Date Sayer ( Unpitted )","Rishi","Local","96.00","616800.00","2026-02-18 12:46:25.597185","2026-02-18 12:46:25.597185"
364,"2026-02-15","Rishi","Rishi Cold","Sayer Dates WEFOOD 5KG",NULL,"125320","3483.00","5.000","17415.00","Economical Dates","Wet Date Sayer ( Unpitted )","Rishi","Local","96.00","1671840.00","2026-02-18 12:46:25.597185","2026-02-18 12:46:25.597185"
365,"2026-02-03","Supreme","22797","KHALAS _ Green",NULL,"34693","22.00","10.000","220.00","Economical Dates","Wet Dates Khalas","Supreme","Local","110.00","24200.00","2026-02-18 12:46:25.597185","2026-02-18 12:46:25.597185"
366,"2026-02-03","Supreme","22797","KHALAS _ White",NULL,"34693","1044.00","10.000","10440.00","Economical Dates","Wet Dates Khalas","Supreme","Local","110.00","1148400.00","2026-02-18 12:46:25.597185","2026-02-18 12:46:25.597185"
